編號,縣市／單位別,公告日期,事業單位名稱(負責人)自然人姓名,處分日期,處分字號,違反法規條款,法條敘述,罰鍰金額,備註,來源縣市,來源檔案,法規分類,處分金額／滯納金
31500,台北市,101/01/15,台灣士瑞克保全股份有限公司,100/12/30,府勞動字第10041010000號,勞動基準法第32條第2項,延長工作時間超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31499,台北市,101/01/15,英屬維爾京群島湯米席爾菲格股份有限公司台灣分公司,100/12/30,府勞動字第10041447000號,勞動基準法第32條第2項,延長工作時間超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31501,台北市,101/01/15,潤穎國際開發有限公司,100/12/23,府勞動字第10040654400號,勞動基準法第22條第2項;勞動基準法第30條第5項,工資未全額給付給勞工;未依規定置備勞工出勤紀錄,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31502,台北市,101/01/15,福金寶有限公司,100/12/19,府勞動字第10040642800號,勞動基準法第30條第1項;勞動基準法第39條,正常工時超過法令規定;假日工資未給或於休假日工作未依規定加給工資,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31504,台北市,102/03/31,興麗安有限公司,100/12/12,府勞動字第10040607700號,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31503,台北市,101/03/16,開元食品工業股份有限公司,100/12/12,府勞動字第10040980800號,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31505,台北市,101/01/15,荷蘭商颯拉股份有限公司台灣分公司,100/12/09,府勞動字第10040602000號,勞動基準法第30條第1項;勞動基準法第32條第1項,正常工時超過法令規定;未經工會或勞資會議同意使勞工延長工時,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31506,台北市,101/01/15,香港商利豐品牌代理股份有限公司台灣分公司,100/12/09,府勞動字第10040958000號,勞動基準法第30條第1項;勞動基準法第36條,正常工時超過法令規定;每七日中未有一日之休息作為例假,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31507,台北市,101/11/30,動廣數位傳媒有限公司,100/12/09,府勞動字第10040857700號,勞動基準法第22條第2項;勞動基準法第30條第5項,工資未全額給付給勞工;未依規定置備勞工出勤紀錄,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31511,台北市,101/07/31,周粉即指愛漂亮精品店,100/12/07,府勞動字第10039761400號,勞動基準法第21條第1項;勞動基準法第30條第1項;勞動基準法第36條,未達基本工資;正常工時超過法令規定;每七日中未有一日之休息作為例假,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31509,台北市,101/01/15,宸鴻光電科技股份有限公司,100/12/07,府勞動字第10037089000號,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31508,台北市,101/01/15,泰捷工程顧問有限公司,100/12/07,府勞動字第10040973600號,勞動基準法第22條第2項;勞動基準法第24條,工資未全額給付給勞工;延長工作時間未依規定加給工資,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31510,台北市,101/01/15,怡客咖啡股份有限公司,100/12/07,府勞動字第10040623800號,勞動基準法第49條第1項;勞動基準法第65條第1項;勞動基準法第68條,未經工會或勞資會議同意使女工於午後十時至翌晨六時之時間內工作;與技術生簽訂之書面契約未報請主管機關備查;技術生人數超過勞工人數四分之一,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31512,台北市,101/01/15,香港商港大有限公司台灣分公司,100/12/01,府勞動字第10040454800號,勞動基準法第24條,延長工作時間未依規定加給工資,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31513,台北市,101/07/31,文景書局有限公司,100/11/29,府勞動字第10040399000號,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條;勞動基準法第39條,延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假;假日工資未給或於休假日工作未依規定加給工資,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31517,台北市,101/07/31,燦坤實業股份有限公司,100/11/21,府勞動字第10040331000號,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31514,台北市,101/01/15,吸引力生活事業股份有限公司,100/11/21,府勞動字第10040374800號,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定;每七日中未有一日之休息作為例假,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31515,台北市,101/01/15,財團法人康寧醫院,100/11/21,府勞動字第10039311100號,勞動基準法第30條第1項,正常工時超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31516,台北市,101/01/15,春豐工程行(陳義豐),100/11/21,府勞動字第10037089300號,勞動基準法第59條第1項第2款,未依規定補償職災勞工原領工資補償,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31519,台北市,101/01/15,銘竟電機技師事務所,100/11/18,府勞動字第10039760800號,勞動基準法第32條第1項,未經工會或勞資會議同意使勞工延長工時,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31518,台北市,107/05/07,明台電腦股份有限公司(劉秋銘),100/11/18,府勞動字第10037076400號,勞動基準法第28條第2項,未依規定提繳積欠工資墊償基金,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31520,台北市,101/01/15,達美樂披薩股份有限公司,100/11/14,府勞動字第10040297300號,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31522,台北市,101/01/15,台灣愛克思資訊科技股份有限公司,100/11/08,府勞動字第10040360600號,勞動基準法第22條第2項;勞動基準法第55條第1項,工資未全額給付給勞工;未依法給付勞工退休金,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31523,台北市,101/01/15,永美汽車股份有限公司,100/11/08,府勞動字第10040361000號,勞動基準法第22條第2項,工資未全額給付給勞工,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31521,台北市,101/01/15,朱容容即治鴻企業社,100/11/08,府勞動字第10039459000號,勞動基準法第32條第1項;勞動基準法第32條第2項,未經工會或勞資會議同意使勞工延長工時;延長工作時間超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31524,台北市,101/01/15,日勝汽車股份有限公司,100/11/07,府勞動字第10040360800號,勞動基準法第22條第2項,工資未全額給付給勞工,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31525,台北市,101/01/15,勝榮汽車股份有限公司,100/11/07,府勞動字第10040360900號,勞動基準法第27條,不依主管機關限期給付令之期限給付工資,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31527,台北市,101/01/15,品帥生技有限公司,100/11/03,府勞動字第10040251900號,勞動基準法第22條第2項,工資未全額給付給勞工,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31526,台北市,101/01/15,大學光學科技股份有限公司,100/11/03,府勞動字第10040242600號,勞動基準法第24條,延長工作時間未依規定加給工資,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31529,台北市,101/01/15,橘色涮涮火鍋店大安分店(袁永定),100/11/02,府勞動字第10040261200號,勞動基準法第24條;勞動基準法第32條第1項,延長工作時間未依規定加給工資;未經工會或勞資會議同意使勞工延長工時,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31528,台北市,101/01/15,第一商業銀行股份有限公司,100/11/02,府勞動字第10040360500號,勞動基準法第38條,未依規定給予特別休假,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31530,台北市,101/01/15,丸林有限公司,100/11/01,府勞動字第10040244400號,勞動基準法第30條第1項,正常工時超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31531,台北市,100/11/15,宮宅家飾店,100/10/28,府勞動字第10040279600號,勞動基準法第21條第1項;勞動基準法第30條第1項,未達基本工資;正常工時超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31532,台北市,100/11/15,國光汽車客運股份有限公司,100/10/27,府勞動字第10040251800號,勞動基準法第32條第2項,延長工作時間超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31533,台北市,100/11/15,晟昕實業股份有限公司,100/10/25,府勞動字第10037060700號,勞動基準法第23條第1項,工資未定期給付勞工,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31535,台北市,100/11/15,壹多媒體娛樂服務股份有限公司,100/10/24,府勞動字第10040188900號,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31534,台北市,100/11/15,森園家具有限公司,100/10/24,府勞動字第10040146200號,勞動基準法第7條第1項;勞動基準法第22條第2項;勞動基準法第30條第1項,未按規定置備勞工名卡;工資未全額給付給勞工;正常工時超過法令規定,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31536,台北市,100/11/15,拿帕里股份有限公司,100/10/21,府勞動字第10037904500號,勞動基準法第38條,未依規定給予特別休假,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
31538,台北市,100/11/15,樂蘭股份有限公司,100/10/19,府勞動字第10040171000號,勞動基準法第9條第1項,以定期契約雇用勞工從事繼續性工作,,,台北市,announcement-A-115013073756.csv,勞動基準法等,
